Episode Number,English Title,Release Date,Color
1,One Piece - Defeat Him! The Pirate Ganzack,"July 26, 1998",#FFCCCC
001,I'm Luffy! The Man Who Will Become the Pirate King!,"October 20, 1999",#F2F2F2
002,The Great Swordsman Appears! Pirate Hunter Roronoa Zoro,"November 17, 1999",#F2F2F2
003,Morgan vs. Luffy! Who's This Mysterious Beautiful Young Girl?,"November 24, 1999",#F2F2F2
004,Luffy's Past! The Red-Haired Shanks Appears!,"December 8, 1999",#F2F2F2
005,"Fear, Mysterious Power! Pirate Clown Captain Buggy!","December 15, 1999",#F2F2F2
-,"Emergency Planning, A Perfect  Strategy for the One Piece","December 22[1], 1999",#FF9F80
006,Desperate Situation! Beast Tamer Mohji vs. Luffy!,"December 29, 1999",#F2F2F2
007,Grand Duel! Zoro the Swordsman vs. Cabaji the Acrobat!,"December 29, 1999",#F2F2F2
008,Who Will Win? Showdown Between the True Powers of the Devil Fruit!,"December 29, 1999",#F2F2F2
009,Honorable Liar? Captain Usopp,"January 12, 2000",#F2F2F2
010,The World's Strongest Weirdo! Jango the Hypnotist!,"January 19, 2000",#F2F2F2
011,"Revealing the Conspiracy! The Pirate Caretaker, Captain Kuro!","January 26, 2000",#F2F2F2
012,Battle! The Black Cat Pirate Crew. Battle on the Slope!,"February 2, 2000",#F2F2F2
013,The Terrifying Duo! Nyaban Brothers vs. Zoro,"February 9, 2000",#F2F2F2
014,Luffy's Revival! Miss Kaya's Life and Death Confrontation,"February 16, 2000",#F2F2F2
015,Defeat Kuro! Usopp's Tear-filled Determination!,"February 23, 2000",#F2F2F2
016,Protect Kaya! Usopp Pirate Gang Takes Action!,"March 1, 2000",#F2F2F2
01,One Piece: The Movie,"March 4, 2000",#ABCDEF
017,"Completely Infuriated! Kuro vs. Luffy, Final Battle!","March 8, 2000",#F2F2F2
018,You Are a Special Animal! Gaimon and His Bizarre Friends,"March 15, 2000",#F2F2F2
019,Past of the Three Swords! The Promise Between Zoro and Kuina!,"March 22, 2000",#F2F2F2
020,The Famous Cook! Sanji of the Floating Restaurant,"April 12, 2000",#F2F2F2
021,An Unexpected Guest! Sanji's Food and Gin's Grace,"April 12, 2000",#F2F2F2
022,The Greatest Pirate Fleet: Captain Don Krieg,"April 26, 2000",#F2F2F2
023,Protect Baratie! The Great Pirate: Zeff the Red Leg,"May 3, 2000",#F2F2F2
024,Hawk Eyes Mihawk! Swordsman Zoro Falls into the Sea!,"May 10, 2000",#F2F2F2
025,The Emergence of the Superb Kicking Skill: Sanji vs. the Iron Wall Pearl,"May 17, 2000",#F2F2F2
026,Zeff and Sanji's Ambition: The Sea of Dreams - All Blue,"May 24, 2000",#F2F2F2
027,The Coldhearted Demon: Pirate Fleet Battle Commander Gin,"May 31, 2000",#F2F2F2
028,I Won't Die! Conclusion: Luffy vs. Krieg,"June 7, 2000",#F2F2F2
029,Outcome of a Deadly Battle! The Inner Spear!,"June 21, 2000",#F2F2F2
030,Departure! Sea Chef and Luffy Travel Together!,"June 28, 2000",#F2F2F2
031,"The Most Wicked Man of East Blue, Fishman Pirate Arlong","July 12, 2000",#F2F2F2
032,"The Witch of Cocoyashi Village, Arlong's Female Officer","July 19, 2000",#F2F2F2
033,Usopp's Death?! Luffy - Yet To Land?,"July 19, 2000",#F2F2F2
034,Reunited! Usopp Tells Nami's True Story,"July 26, 2000",#F2F2F2
035,The Hidden Past! Female Fighter Bellemere!,"August 2, 2000",#F2F2F2
036,Survive! The Mother Bellemere and Nami's Family!,"August 9, 2000",#F2F2F2
037,Luffy Stands Up! End of a Broken Promise!,"August 16, 2000",#F2F2F2
038,Luffy in Trouble! Fishmen vs. Luffy Pirates!,"August 23, 2000",#F2F2F2
039,Luffy Drowning! Zoro vs. Octopus Hatchan!,"August 30, 2000",#F2F2F2
040,"Proud, Tall Warriors! Dramatic Battle of Sanji and Usopp!","September 6, 2000",#F2F2F2
041,Luffy's Best! Nami's Courage and the Straw Hat,"September 13, 2000",#F2F2F2
042,"Bursting Out! Fishman Arlong, Fearsome Attack From The Sea!","September 27, 2000",#F2F2F2
043,The End of the Fishman Empire! Nami is my Friend!,"September 27, 2000",#F2F2F2
